COURSE #,TITLE/START DATE,CAPACITY,# OF STUDENTS,STATUS,INSTRUCTOR,FEE,Min Cred,Max Cred,COREQ CRS,XLIST CRS,Section,Start Time,End Time,Meeting Days,Bldg,Room
CIS_103_50,First-Year Seminar,16,19,Clsd,Dr B Brinkman,,2.00,0.00,,,50,12:20PM,01:15PM,W F,Z,445
CIS_150_01,Business Technology 1,25,25,Clsd,Mr D Marino,10000,3.00,0.00,,,01,08:00AM,08:55AM,M W F,Z,335
CIS_150_02,Business Technology 1,25,22,Open,Dr T Boulder,10000,3.00,0.00,,,02,,,,ON,ONLINE
CIS_150_03,Business Technology 1,25,25,Clsd,Dr T Boulder,10000,3.00,0.00,,,03,10:10AM,11:05AM,M W F,Z,130
CIS_150_04,Business Technology 1,23,23,Clsd,Ms C Gaither,10000,3.00,0.00,,,04,08:00AM,09:20AM,T TH,Z,335
CIS_150_05,Business Technology 1,23,23,Clsd,Ms C Gaither,10000,3.00,0.00,,,05,09:30AM,10:50AM,T TH,Z,335
CIS_150_1E,Business Technology 1,25,9,Open,Mr M Beiter,10000,3.00,0.00,,,1E,06:00PM,07:20PM,T TH,Z,335
CIS_150_YY,Business Technology 1 08/26 - 12/16,20,5,Open,Ms M Rich,10000,3.00,0.00,,,YY,07:30PM,08:50PM,M W,OC,KANE
CIS_170_01,PC OS/Internet 08/27 - 09/24,25,25,Clsd,Mr D Marino,3300,1.00,0.00,,,01,01:30PM,02:50PM,T TH,Z,130
CIS_170_02,PC OS/Internet 08/27 - 09/24,25,25,Clsd,Mr B McIntyre,3300,1.00,0.00,,,02,09:30AM,10:50AM,T TH,Z,355
CIS_170_1E,PC OS/Internet 08/26 - 09/28,25,0,Cncl,,3300,1.00,0.00,,,1E,,,,,
CIS_171_01,Word Processing 09/29 - 10/29,25,9,Open,Mr D Marino,3300,1.00,0.00,,,01,01:30PM,02:50PM,T TH,Z,130
CIS_171_02,Word Processing 09/29 - 10/29,25,9,Open,Mr B McIntyre,3300,1.00,0.00,,,02,09:30AM,10:50AM,T TH,Z,355
CIS_171_1E,Word Processing 09/30 - 11/02,25,0,Cncl,,3300,1.00,0.00,,,1E,,,,,
CIS_172_01,Electronic Spreadsht 11/03 - 12/10,25,10,Open,Mr D Marino,3300,1.00,0.00,,,01,01:30PM,02:50PM,T TH,Z,130
CIS_172_02,Electronic Spreadsht 11/03 - 12/10,25,7,Open,Mr B McIntyre,3300,1.00,0.00,,,02,09:30AM,10:50AM,T TH,Z,355
CIS_172_1E,Electronic Spreadsht 11/04 - 12/09,25,0,Cncl,,3300,1.00,0.00,,,1E,,,,,
CIS_173_01,Database 11/03 - 12/10,25,11,Open,Mr D Marino,3300,1.00,0.00,,,01,03:00PM,04:20PM,T TH,PC,2023
CIS_180_01,Prob Solv & Comp Prog,15,14,Open,Mr J Cannell,,2.00,0.00,,,01,10:10AM,11:05AM,M W F,Z,336
CIS_180_02,Prob Solv & Comp Prog,15,13,Open,Mr J Cannell,,2.00,0.00,,,02,11:15AM,12:10PM,M W F,Z,336
CIS_181_01,Prob Solv&ComPg Lab,15,14,Open,Mr J Cannell,19400,1.00,0.00,,,01,03:00PM,06:00PM,M,Z,336
CIS_181_02,Prob Solv&ComPg Lab,15,13,Open,Mr J Cannell,19400,1.00,0.00,,,02,03:00PM,06:00PM,W,Z,336
CIS_207_01,Intro COBOL Programg,20,0,Cncl,,00000,3.00,0.00,,,01,,,,,
CIS_216_01,Prblm-Solv With OOP,20,20,Clsd,Mr M Blair,10500,3.00,0.00,,,01,10:10AM,11:05AM,M W F,Z,335
CIS_217_01,Using UNIX 08/27 - 10/13,20,18,Open,Mr J Coffman,3300,1.00,0.00,,,01,03:35PM,04:30PM,M W,Z,355
CIS_218_01,UNIX Shell Programming 10/19 - 12/09,20,14,Open,Mr J Coffman,00000,1.00,0.00,,,01,03:35PM,04:30PM,M W,Z,355
CIS_290_1E,Intro to Networks,22,19,Open,Mr M Beiter,19400,3.00,0.00,,,1E,04:30PM,05:50PM,T TH,Z,355
CIS_296_01,Co-op Educ Seminar,25,0,Cncl,,00000,1.00,0.00,,,01,,,,,
