Course Outcomes vs. Program Outcomes Curriculum Matrix ,,,,,,,,,,,,,,,,,,,,,,,,
Department: GCIS,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2012,,,,,,,,,,,,,,,,,,,,,,,,
,,GCIS Program Wide Outcomes,,,,,,,,,Applied Computer Science-Specific Outcomes ,,,Information Systems-Specific Outcomes ,,,,Software Engineering-Specific Outcomes ,,,,Web Development-Specific Outcomes,,
Course ID,Course Outcomes,"GCIS-1 Elicit, document, and analyze the requirements for software systems",GCIS-2 Design mainstream or advanced software systems from requirements. ,GCIS-3 Build mainstream or advanced software systems from designs. ,"GCIS-4 Utilize tools, languages, and environments for effective analysis, design, and development.",GCIS-5 Obtain a comprehension of the evolving technology and its ramifications. ,"GCIS-6 Identify, plan, and manage the schedule and risks for the activities involved in software-based systems development.","GCIS-7 Provide a research contribution or development of value to the profession, industry or society.",GCIS-8 Exhibit skills to support continued development and improvement of their professional abilities. ,"GCIS-9 Exhibit skills necessary to make ethical decisions as a moral and conscientious individual and as a citizen of their professions, their society, and their place of employment. ","ACS-1 Design, build, and use effective relational databases.",ACS-2 Develop and deploy digital image processing applications,ACS-3 Develop and deploy digital intelligent systems applications,IS-1 Identify and manipulate the knowledge-based components of systems in order to enable better decision- making or to provide stable representations.,IS-2 Design and build knowledge-based systems.,IS-2 Critique and manage the information resources of an organization. ,"IS-2 Design, build, and use effective relational databases.",Identify effective quality measures and organize activities to support software-based systems development.,"Evaluate alternative designs, and identify the best solution for a given set of software product and project constraints.",Critique and recommend design improvements for computer-human interfaces,"Identify change-management issues, and apply effective change-management processes to maintain quality software-based systems.","Design, build, and deploy database-driven web application.",Administer internet services platforms.,"Develop goal-oriented, secure, artistic, interactive web sites."
,Total Courses: 18,2,7,8,8,2,2,1,4,2,4,2,1,3,2,,3,3,4,,2,2,,2
GCIS_502_0A,,x,x,x,x,x,,,,,,,,,,,,,,,,,,x
Adv Web Design,"1.Apply HTML, XHTML, CSS and Java Script
",,x,,,x,,,,,,,,,,,,,,,,,,x
,"2.Apply the concepts of User Centered Design to web development
",,x,x,,,,,,,,,,,,,,,,,,,,x
,"3.Translate user goals into effective website design using Design Patterns
",,x,,x,,,,,,,,,,,,,,,,,,,x
,"4.Describe the concept of usability testing and use it to test the effectiveness of website design
",x,x,,,,,,,,,,,,,,,,,,,,,x
GCIS_504_0A,,x,x,x,x,,,,,,,,,x,,,,x,x,,,,,
Requirement Eng,"Define and apply techniques for minimizing ambiguity in natural language specifications for functional and non-functional requirements
",x,,,,,,,,,,,,x,,,,,x,,,,,
,"Select and successfully apply techniques for analyzing and validating requirements
",x,x,,,,,,,,,,,,,,,,x,,,,,
